time,ecs,pcs
1.0,1.0,1.0
101.0,1.0,1.0
113.0,1.0,1.0
115.0,1.0,1.0
117.0,1.0,1.0
119.0,1.0,1.0
121.0,1.0,1.0
295.0,1.0,1.0
297.0,1.0,1.0
299.0,1.0,1.0
301.0,1.0,1.0
309.0,1.0,1.0
353.0,1.0,1.0
355.0,1.0,1.0
357.0,1.0,1.0
369.0,1.0,1.0
411.0,1.0,1.0
413.0,1.0,1.0
415.0,1.0,1.0
419.0,1.0,1.0
421.0,1.0,1.0
423.0,1.0,1.0
433.0,1.0,1.0
547.0,1.0,1.0
549.0,1.0,1.0
551.0,1.0,1.0
607.0,1.0,1.0
609.0,1.0,1.0
611.0,1.0,1.0
731.0,1.0,1.0
733.0,1.0,1.0
735.0,1.0,1.0
831.0,1.0,1.0
833.0,1.0,1.0
835.0,1.0,1.0
845.0,1.0,1.0
897.0,1.0,1.0
899.0,1.0,1.0
955.0,1.0,1.0
1013.0,1.0,1.0
1021.0,1.0,1.0
1149.0,1.0,1.0
1209.0,1.0,1.0
